Time,k,d,n_init,max_iter,seed,n_folds,total_correct,out_of,percent_correct,train_score_T,train_score_B,avg_correct_T,avg_correct_B,model,infolder,result_folder,
Sat Apr 14 11:51:00 2018,6,5,5,400,6666,5,85,151,56.38709677,-23836.0414,-21191.30928,44,68.58333333,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152369223455,0.614052288
Sat Apr 14 12:13:48 2018,4,25,5,400,7777,5,76,151,50.27956989,-108474.9359,-123013.9941,60,40.5,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152371944303,0.445844408
Sat Apr 14 12:42:38 2018,4,5,5,400,7777,5,76,151,50.30107527,-9982.919281,-10337.68254,52,48.75,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152371842235,0.494946988
Sat Apr 14 12:54:28 2018,4,5,5,400,7777,5,98,151,64.94623656,-28816.77781,-29746.97224,65.33333333,64.66666667,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152370696013,0.649434163
Sat Apr 14 14:09:37 2018,5,25,5,400,7777,5,83,151,54.88172043,-96405.26133,-107733.8509,54.66666667,54.91666667,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152372491376,0.540996169
Sat Apr 14 14:52:25 2018,5,25,5,400,7777,5,76,151,50.23655914,-117717.5085,-129723.5762,58.66666667,41.91666667,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/15237224435,0.445103506
Sat Apr 14 15:24:04 2018,5,5,5,400,7777,5,98,151,64.96774194,5147.795821,5218.683516,66.66666667,63.25,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152372418638,0.645906593
Sat Apr 14 19:25:25 2018,6,25,5,400,7777,5,82,151,54.23655914,-107267.1607,-118971.4599,61.33333333,47,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152373213455,0.495584416
Sat Apr 14 19:29:43 2018,5,5,5,400,7777,5,91,151,60.30107527,-28451.91014,-26743.04941,54.66666667,66.16666667,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152372107567,0.615381115
Sat Apr 14 20:12:10 2018,6,5,5,400,7777,5,79,151,52.40860215,12398.71157,14764.40495,56,49,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152373397757,0.497326892
Sat Apr 14 20:43:37 2018,6,25,5,400,7777,5,84,151,55.59139785,-84602.91369,-95588.8133,52,58.91666667,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152374861657,0.563808351
Sat Apr 14 21:22:04 2018,6,5,5,400,7777,5,85,151,56.30107527,-23547.75948,-21202.90167,57.33333333,55.25,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152372960846,0.554689183
Sat Apr 14 22:08:03 2018,4,5,5,400,8888,5,80,151,52.98924731,-10362.03493,-11965.02985,52,53.91666667,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152375302729,0.531215451
Sat Apr 14 22:19:24 2018,4,25,5,400,8888,5,82,151,54.25806452,-109453.3761,-123559.5615,57.33333333,51.08333333,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152375538375,0.521030812
Sat Apr 14 22:28:10 2018,4,25,5,400,8888,5,80,151,52.94623656,-130476.7485,-143951.6759,50.66666667,55,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/15237523674,0.538178632
Sun Apr 15 00:53:24 2018,5,25,5,400,8888,5,78,151,51.59139785,-118768.3376,-130896.636,57.33333333,45.83333333,hmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/pairwise/every_frame,results/152375877596,0.483021978
Sun Apr 15 01:15:54 2018,5,5,5,400,8888,5,94,151,62.27956989,5147.730935,3425.322241,73.33333333,51.25,lstmHmm,/home/mlevin6/Desktop/cluster/cluster_sequences/KM_AU06_r_AU12_r_5/default/every_frame,results/152375932239,0.57627718
